Latitude,Longitude,Project Name,Location,Description,Learn More
37.003128,-122.065659,IT Training for Community Organizers,Santa Cruz- California,"Designed to teach technology skills, build confidence and provide hands on experience, TechCamp is an intense 4 day training program designed for non profit organizations. In all, over 80 community and grass roots activists took part of this innovative program...",http://www.everettprogram.org/portfolio-items/training-community-organizers/
28.635308,77.22496,Computer Instruction for Street Children,India,"Fellow Dmitry Kogan, arrived in New Delhi late June through the Education Abroad Program (EAP) in pursuit of a suitable infoactivism internship. After careful research and an intensive Hindi language program, Dmitry found Butterflies, an NGO whose aim is to empower street children with the skills and knowledge to protect their rights and develop themselves as respected, productive citizens...",http://www.everettprogram.org/portfolio-items/computer-instruction-street-children/
37.867048,-122.365723,D@PP Summer Technology Institute ,Santa Cruz- CA,"The D@PP Summer Technology Institute is a week-long program that brings Central San Joaquin Valley youth volunteers in the Digitally Abled Producers Projects (D@PP) to U.C. Santa Cruz. During their stay, the students learn advanced technological literacy concepts while immersed in the university setting, guided by staff and interns from GIIP and Fresno’s Center for Multicultural Cooperation (CMC)...",http://www.everettprogram.org/portfolio-items/dpp-summer-tech-institute/
14.366693,-87.706177,Digital Voices and Computer Literacy ,Lejamani- Honduras,"The Riecken Foundation is an NGO working in Honduras and Guatemala to promote the discovery of ideas and resources by supporting the construction and operation of public libraries. The goal of his internship was to assist Hondurans in utilizing the Internet to advance communication and availability of information while developing the digital voices of the library beneficiaries...",http://www.everettprogram.org/portfolio-items/digital-voices-computer-literacy/
14.0833,-87.2167,Literacy and Tech Skills in Honduran Libraries ,Tegucigalpa- Honduras,"Summer 2008",saw two great GIIP interns work with the Riecken Foundation in Honduras, continuing our long standing partnership with this organization. GIIPer Dayana Stockdale worked in Riecken’s office in Tegucigalpa, Honduras’ capital, to develop a portal with online resources for their network of 61 libraries. Library users, employees, volunteers, and youth can now go online to learn about news and events, projects from the teen program (Zona X), photos, forums, and video tutorials for using computers and the internet. It was a big and challenging project and Dayana really had to get proactive to get it done...,http://www.everettprogram.org/portfolio-items/literacies-tech-literacy-honduran-libraries/
12.971599,77.594563,Technology for Emerging Markets Research,Bangalore- India,"Namaskara! In June 2009, I traveled to Bangalore, India to work with the Technology for Emerging Markets Research (TEM) group, part of Microsoft Research India. The TEM group is a multidisciplinary think tank that recognizes the limitless potential for development through the careful implementation of ICT and scientific research...",http://www.everettprogram.org/portfolio-items/technology-emerging-market-research/
14.191665,-89.1706,Perserving Natural Resources and Improving Local Infrastructure ,Chalatenango- El Salvador,"GIIP fellow Gail Chadwin spent Summer and Fall quarter in Chalatenango, El Salvador, helping a local NGO preserve natural resources and improve the local infrastructure and economy. Working with the Intermunicipal Technical Unit (UTI) of the Association of Municipalities Mancomunidad La Montañona (MLM), Gail’s project focused on enhancing the UTI’s organizational capacity....",http://www.everettprogram.org/portfolio-items/preserving-natural-resources-improving-local-infrastructure/
-0.023559,37.906193,Thirsty Trees Video Project,Kenya,"Thirsty Trees: And the Search for Better Alternatives is an investigation into the different problems certain trees–especially eucalyptus- are creating in the arid regions of Kenya and Africa due to the fact that they consume huge amounts of water. Local alternatives to eucalyptus are discussed, including indigenous trees which have local spiritual and medicinal properties...",http://www.everettprogram.org/portfolio-items/thirsty-trees-video-project/
9.022736,38.746799,Building ICT Capacity in Reproductive Health Organizations,Addis Ababa- Ethiopia,"This summer, Jeysha Wren was in Ethiopia working with the Institute of International Education’s (IIE) Leadership Development for Mobilizing Reproductive Health (LDM) program. The LDM program focuses on building the capacity of grassroots community organizations working in the field of reproductive health by providing leadership and health-based trainings. She worked with IIE and the organizations in their LDM network on ICT applications.",http://www.everettprogram.org/portfolio-items/building-ict-capacity-reproductive-health-orgs-ethiopia/
10.516667,7.433333,Computer Training Sessions with GCC(Girl Child Concerns),Kaduna- Nigeria,"For the  year, GIIP fellow Shelley McCoy has worked with the Reproductive Rights Network (RRN) of Santa Cruz County and International Health Programs (IHP). Shelley is a third year at UC Santa Cruz working towards a Bachelor degree in Biology and a minor in Sociology. Her aspirations to go to medical school and become a practitioner has fueled her interested in public health and her dedication to the reproductive rights campaign...",http://www.everettprogram.org/portfolio-items/computer-training-girl-child-concerns/
16.756932,-93.129235,Creating Contact Across Borders Grassroots Weaving Cooperative,Chiapas- Mexico,"In 2005", Kara Deyhle, GIIP fellow, served a six month internship in Chiapas, Mexico where she worked with a grassroots, weaving cooperative run by indigenous weavers. Kara taught computer classes, worked on a digital product catalog and supported their efforts to create sustainable community development within the small, weaving communities. The two organizations that Kara worked with were Jolom Mayaeʼtik and Kinal Antzetik. Both groups are run and administered by women from communities around San Cristobal, Chiapas.,http://www.everettprogram.org/portfolio-items/tech-empowerment-grassroots-weaving-collective/
12.865416,-85.207229,Domestic Video Documentary ,Nicaragua,"GIIP fellow Natasha Collins had a busy summer working with domestic violence programs . Over the course of her internship, she completed a video documentary about domestic violence against women. Working directly with the grassroots organization María Elena Cuadra (MEC), Natasha’s work consisted of interviewing experts, including doctors, judges and journalists, as well as running mini-workshops for women to share their testimonies, knowledge and experiences. At the end, she and Ana Flores, the head psychologist for MEC, headed chats about domestic violence and presented the completed video...",http://www.everettprogram.org/portfolio-items/violence-against-women-documentary/
-14.276734,-38.998846,Libelula,Itacaré- Brazil,"Juliana Britto Schwartz traveled to Brazil to get to know her own roots. She lived for three months in the beach town of Itacaré, located in the state of Bahia, a state famous for having a large Afro-Brazilian population. Juliana worked as the Social Media and Administrative Intern with an organization called Libélula. Libélula is a very small organization that works to provide a youth center for the girls of Itacaré, where they can take classes and use the computer lab...",http://www.everettprogram.org/portfolio-items/internet-presence-sexual-education-itacare-brazil/
34.0522342,-118.2436849,Tech Seminars with the I Have a Dream Foundation,Los Angeles,"Over Summer 2013, I partnered with "I Have a Dream" Foundation—Los Angeles (IHADLA) and implemented a technology class for their Summer Program. IHADLA is a non-profit that works with underserved and underrepresented students within Los Angeles County to provide their Dreamers, the students they serve, with enriching academic resources, tools, programs, and more to help them obtain higher education. ",http://www.everettprogram.org/portfolio-items/tech-seminars-dream-foundation/
17.1577833,-96.2099322,Giving Artisans Information Technology Skills,Oaxaca, Mexico,"I spent two months in Oaxaca, Oaxaca, Mexico this past summer. While there I helped Fundación En Via by teaching artisans and their families how to use computers/internet 4 times a week, helped with the English classes once a week, and was a translator for the En Via tours once a week. My main focus was the computer/internet classes.",http://www.everettprogram.org/portfolio-items/giving-artisans-information-technology-skills-gaits/
23.553118,121.0211024,Taiwanese Adolescent Association on Sexualities,Taiwan, China,"In Kaohsuing and other southern or rural parts of Taiwan, education and resources about sexual orientation, homosexuality and gender equality in middle schools and high schools are lacking. Ignorance creates misunderstandings and hatred. About 58% of the LGBT students claimed to be bullied while in school due to the absence of proper education. Furthermore, besides bullies, many LGBT youths face hardships such as relationship breakups, conflicts with family members and coming out. They need people that’d listen, provide consolation, and give practical advices, yet the assistance and resources in schools are limited.",http://www.everettprogram.org/portfolio-items/taiwanese-adolescent-association-sexualities-tas/
34.0522342,-118.2436849,Hope Computer Center,Los Angeles,"The social problem that I worked on was the lack of computer literacy of adults in the south central community. The need was the implementation of computer classes in this community in order to allow these adults to attain knowledge regarding computers and their use.",http://www.everettprogram.org/portfolio-items/hope-computer-center/
12.9235639,-85.8401191,Building Technological Capacity of Youth Leaders in a Rural Sustainable Agriculture and Food Sovereignty Initiative,San Ramon, Nicaragua,"In 2012",la Roya—a plague that causes coffee leaves to turn brown like rust stopping all production—hit 100 percent of CAN’s Youth Leadership and Education for Sustainable Agriculture and Food Sovereignty (YLFS) project beneficiaries. Over 120 families were impacted by the blight thus increasing the need of young family members to leave the community in search of work.,http://www.everettprogram.org/portfolio-items/1323/
37.7584754,-122.2354022,Ready 4 College,Oakland, CA,"Immigrants who have entered the United States between the ages of 13 and 19 are statistically shown to achieve the lowest levels of education among immigrant groups. According to The Institute for Higher Education Policy, just 22 percent of immigrants between age 18 and 24 who immigrated between the ages of 13 and 19 were enrolled in college in 2005, compared with 37 percent of those who immigrated before age 13.",http://www.everettprogram.org/portfolio-items/ready-college/
